NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT13,WT16,WT21,WT22,Flood,High Wind,Heat,Strong Wind,Frost/Freeze,Heavy Rain,Drought
"SANTA ROSA SONOMA CO AIRPORT, CA US",06/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.13,913.0,1527.0,63.0,42.0,250.0,210.0,8.9,10.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",07/02/2007,0.58,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.82,1602.0,1455.0,56.0,42.0,130.0,120.0,15.0,17.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",08/02/2007,1.52,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.04,2220.0,2220.0,55.0,40.0,150.0,160.0,19.9,25.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",09/02/2007,1.49,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.93,135.0,144.0,57.0,54.0,150.0,140.0,16.1,19.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",10/02/2007,1.44,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.95,924.0,1009.0,57.0,53.0,140.0,130.0,17.0,21.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",11/02/2007,0.04,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.14,1547.0,1539.0,59.0,41.0,230.0,230.0,14.1,17.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",12/02/2007,0.84,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.01,1452.0,1409.0,52.0,40.0,40.0,330.0,14.1,17.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",13/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.36,1647.0,1647.0,60.0,38.0,300.0,300.0,12.1,14.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",14/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.58,1727.0,1727.0,62.0,33.0,290.0,290.0,12.1,13.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",15/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.8,1541.0,1541.0,72.0,43.0,300.0,300.0,19.9,23.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",16/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.47,2015.0,2015.0,79.0,39.0,330.0,330.0,12.1,13.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",17/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.14,1510.0,1510.0,78.0,46.0,250.0,250.0,15.0,17.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",18/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,10.51,1056.0,1056.0,63.0,40.0,310.0,300.0,21.9,28.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",19/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.95,1530.0,1544.0,64.0,38.0,300.0,280.0,17.0,21.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",20/02/2007,0.02,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.14,1445.0,1512.0,58.0,37.0,230.0,220.0,16.1,19.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",21/02/2007,0.23,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,10.51,1523.0,1521.0,55.0,49.0,160.0,150.0,19.9,23.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
