NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,SNWD,WESD,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08,WT09,Flood,Hail,High Wind,Frost/Freeze,Strong Wind
"MUSKEGON CO AIRPORT, MI US",3/3/2007,0.36,4.6,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,11,0,15.21,52,105,29,25,240,240,23.9,31.1,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",4/3/2007,0,0.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,13,0,17,1632.5,916.5,35,24,225,200,29.5,38.6,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",5/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,12,0,11.898,1379.2,1378.2,65.66666667,41,102,104,21.54,29.86,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",6/3/2007,0.09,2.2,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,12,0,7.27,1159.5,1159,71,41,275,275,20.05,26.5,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",7/3/2007,0.02,0.4,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,14,0,8.454,2129.4,2109.8,65,40,212,208,16.74,24.12,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",8/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,14,0,4.695,1241,950.5,91,64,190,155,14.55,20,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",9/3/2007,0.27,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,14,0,5.456,1462,560.4,68,43,252,236,13,16.6,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",10/3/2007,0.03,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,11,0,10.07,11,10,73,49,180,170,30,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",11/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,10,0,4.546666667,1507.666667,1612.666667,46,21,280,316.6666667,14.03333333,17.96666667,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",12/3/2007,0.07,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",13/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,3,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",14/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",15/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",16/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",17/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",18/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",19/3/2007,0.04,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",20/3/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",21/3/2007,0.97,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",22/3/2007,0.44,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.1125,301.75,296.25,23,8.5,345,345,22.075,30.7,1,1,1,1,1,1,0,0,0,0,0
